PWM	Tensão	Luminosidade
0,0000	9,2494	7,0388
2,0000	6,6763	10,7412
4,0000	5,3905	21,0407
6,0000	4,6040	32,2698
8,0000	4,0266	43,4862
10,0000	3,6156	53,2097
12,0000	3,2943	68,9539
14,0000	3,0379	82,4827
16,0000	2,8277	92,8233
18,0000	2,6478	101,2215
20,0000	2,4943	108,4021
22,0000	2,3617	115,0411
24,0000	2,2437	121,7212
26,0000	2,1396	128,6227
28,0000	2,0458	136,0243
30,0000	1,9670	143,3948
30,0000	1,9658	143,5155
35,0000	1,8009	163,6458
40,0000	1,6579	188,1400
45,0000	1,5556	211,0578
50,0000	1,4680	235,1681
55,0000	1,3922	259,9775
60,0000	1,3248	285,5665
65,0000	1,2649	311,4324
70,0000	1,2127	336,6502
75,0000	1,1627	363,3124
80,0000	1,1175	389,7291
85,0000	1,0828	411,6126
90,0000	1,0423	439,0133
95,0000	1,0183	456,2896
100,000 0,9951	473,7089
